"Name","Tm","Season","MP","EFG.O","EFG.D","FT.O","FT.D","TOV.O","TOV.D","REB.O","REB.D","MRG.O","MRG.D","EFG","FT","TOV","REB","NET"
"A.C. Green","MIA",2001,1411,-0.014,-0.004,-0.01,0.006,-0.004,-0.003,0.016,0.017,-2.55,0.16,-0.019,-0.004,-0.007,0.034,-2.39
"A.J. Guyton","CHI",2001,630,-0.006,-0.002,-0.002,-0.012,0.013,-0.005,-0.021,-0.026,-0.43,-2.77,-0.008,-0.014,0.008,-0.047,-3.2
"A.J. Guyton","CHI",2002,607,-0.006,0,-0.003,-0.01,0.015,-0.005,-0.014,-0.027,0.12,-2.4,-0.006,-0.014,0.01,-0.042,-2.29
"A.J. Guyton","GSW",2003,9,-0.055,0.004,-0.022,-0.016,0.009,0.032,-0.027,-0.051,-10.07,1.35,-0.051,-0.037,0.042,-0.078,-8.73
"A.J. Price","CLE, IND, PHO",2015,311,-0.012,-0.001,-0.003,-0.012,0.02,-0.002,-0.014,-0.021,-0.24,-1.99,-0.013,-0.016,0.018,-0.035,-2.23
"A.J. Price","IND",2010,865,-0.004,0.001,0.004,-0.014,0.013,0.004,-0.017,-0.023,0.39,-1.06,-0.003,-0.011,0.017,-0.04,-0.67
"A.J. Price","IND",2011,795,-0.009,0.001,0.002,-0.015,0.014,0.003,-0.014,-0.022,-0.19,-1.13,-0.008,-0.013,0.018,-0.036,-1.33
"A.J. Price","IND",2012,568,-0.012,0.002,0,-0.013,0.012,0.003,-0.014,-0.023,-1.08,-0.98,-0.01,-0.013,0.015,-0.037,-2.06
"A.J. Price","MIN",2014,99,-0.011,-0.005,-0.022,-0.006,0.013,-0.008,-0.019,-0.016,-2.22,-2.66,-0.015,-0.028,0.005,-0.035,-4.88
"A.J. Price","WAS",2013,1278,-0.001,-0.001,0.001,-0.013,0.014,-0.001,-0.019,-0.022,0.83,-1.89,-0.001,-0.012,0.013,-0.041,-1.06
"Aaron Brooks","CHI",2015,1632,0,0.002,0.004,-0.015,0.01,0,-0.016,-0.016,0.65,-1.18,0.002,-0.011,0.009,-0.032,-0.53
"Aaron Brooks","DEN, HOU",2014,1557,-0.002,0.003,-0.001,-0.015,0.008,0.002,-0.01,-0.019,0.24,-0.84,0.001,-0.016,0.01,-0.028,-0.6
"Aaron Brooks","HOU",2008,608,-0.005,0.003,0.003,-0.017,0.011,-0.002,-0.013,-0.018,0.15,-1.36,-0.002,-0.014,0.009,-0.03,-1.21
"Aaron Brooks","HOU",2009,1998,-0.002,-0.002,0.006,-0.015,0.011,-0.001,-0.016,-0.021,0.6,-2.17,-0.005,-0.009,0.01,-0.037,-1.57
"Aaron Brooks","HOU",2010,2919,0.009,-0.005,0.008,-0.014,0.013,-0.002,-0.014,-0.021,2.87,-2.45,0.004,-0.005,0.011,-0.035,0.42
"Aaron Brooks","HOU, PHO",2011,1284,-0.004,0.001,0.009,-0.016,0.015,0,-0.015,-0.022,1.07,-1.63,-0.003,-0.007,0.015,-0.037,-0.56
"Aaron Brooks","HOU, SAC",2013,997,-0.003,0.004,-0.003,-0.014,0.006,0.001,-0.02,-0.019,-0.92,-0.93,0,-0.017,0.007,-0.04,-1.85
"Aaron Gordon","ORL",2015,590,-0.004,0.001,-0.005,0.006,-0.009,-0.004,-0.002,0.008,-2.14,0.28,-0.004,0.001,-0.013,0.006,-1.86
"Aaron Gray","CHI",2008,613,-0.004,0.001,-0.015,0.006,-0.017,0.003,0.037,0.027,-1.86,2.09,-0.004,-0.009,-0.015,0.063,0.23
"Aaron Gray","CHI",2009,715,-0.008,-0.001,-0.022,0.005,-0.014,-0.004,0.042,0.033,-2.23,1.35,-0.009,-0.017,-0.018,0.075,-0.88
"Aaron Gray","CHI, NOH",2010,311,-0.007,0.002,-0.022,0.009,-0.013,-0.001,0.06,0.034,-1.03,2.38,-0.005,-0.013,-0.014,0.094,1.35
"Aaron Gray","NOH",2011,531,-0.004,0,-0.025,0.007,-0.021,-0.004,0.04,0.038,-2.6,1.84,-0.003,-0.019,-0.025,0.078,-0.76
