"Name","Tm","Season","MP","EFG.O","EFG.D","FT.O","FT.D","TOV.O","TOV.D","REB.O","REB.D","MRG.O","MRG.D","EFG","FT","TOV","REB","NET"
"A.C. Green","MIA",2001,1411,-0.021,0.009,-0.011,0.007,-0.001,0.004,0.013,0.014,-3.38,2.79,-0.013,-0.004,0.003,0.028,-0.59
"A.J. Guyton","CHI",2001,630,-0.007,-0.002,0,-0.006,0.009,0,-0.017,-0.016,-0.95,-0.8,-0.009,-0.006,0.009,-0.032,-1.75
"A.J. Guyton","CHI",2002,607,-0.006,-0.003,-0.001,-0.005,0.01,0,-0.012,-0.016,-0.55,-0.8,-0.009,-0.006,0.01,-0.028,-1.35
"A.J. Guyton","GSW",2003,9,-0.018,0,-0.012,-0.007,0.006,0.011,-0.017,-0.028,-4.55,0.29,-0.018,-0.02,0.017,-0.045,-4.26
"A.J. Price","CLE, IND, PHO",2015,311,-0.007,0.002,-0.003,-0.005,0.014,-0.001,-0.008,-0.011,-0.36,0.07,-0.005,-0.008,0.012,-0.019,-0.29
"A.J. Price","IND",2010,865,-0.001,0.001,0.001,-0.011,0.011,0.003,-0.013,-0.012,0.34,-0.06,0,-0.01,0.014,-0.025,0.28
"A.J. Price","IND",2011,795,-0.001,0,0,-0.011,0.011,0.004,-0.011,-0.01,0.12,0.15,-0.001,-0.011,0.015,-0.021,0.27
"A.J. Price","IND",2012,568,-0.006,-0.001,0,-0.007,0.009,0.003,-0.01,-0.013,-0.58,-0.29,-0.006,-0.006,0.012,-0.024,-0.87
"A.J. Price","MIN",2014,99,-0.004,0,-0.013,-0.003,0.008,-0.003,-0.012,-0.009,-0.97,-0.54,-0.004,-0.015,0.006,-0.021,-1.52
"A.J. Price","WAS",2013,1278,-0.002,0.002,0.001,-0.006,0.013,0,-0.014,-0.014,0.99,0.04,0,-0.004,0.013,-0.028,1.04
"Aaron Brooks","CHI",2015,1632,0.001,0.003,0.006,-0.016,0.009,-0.003,-0.016,-0.011,0.86,-0.98,0.004,-0.01,0.006,-0.027,-0.12
"Aaron Brooks","DEN, HOU",2014,1557,-0.002,0.001,0.001,-0.015,0.007,-0.002,-0.008,-0.015,0.59,-1.54,-0.001,-0.014,0.005,-0.024,-0.95
"Aaron Brooks","HOU",2008,608,-0.001,-0.003,0.003,-0.01,0.008,-0.001,-0.01,-0.009,0.08,-0.82,-0.004,-0.007,0.007,-0.019,-0.74
"Aaron Brooks","HOU",2009,1998,-0.001,-0.004,0.005,-0.012,0.007,-0.001,-0.019,-0.011,-0.82,-1.31,-0.005,-0.008,0.006,-0.03,-2.14
"Aaron Brooks","HOU",2010,2919,0.002,-0.005,0.008,-0.011,0.008,-0.004,-0.016,-0.016,0.58,-2.07,-0.003,-0.003,0.005,-0.032,-1.49
