"Name","Tm","Season","MP","EFG.O","EFG.D","FT.O","FT.D","TOV.O","TOV.D","REB.O","REB.D","MRG.O","MRG.D","EFG","FT","TOV","REB","NET"
"A.C. Green","MIA",2001,1411,-0.025,0.01,-0.013,0.008,0.004,0.008,0.008,0.01,-4.06,3.54,-0.011,-0.004,0.013,0.02,-0.01
"A.J. Guyton","CHI",2001,630,-0.008,-0.002,0.002,0,0.002,0.003,-0.009,-0.004,-1.37,-0.23,-0.01,0.001,0.005,-0.013,-1.52
"A.J. Guyton","CHI",2002,607,-0.006,-0.003,0.002,0,0.001,0.003,-0.008,-0.003,-1.09,-0.34,-0.009,0.001,0.004,-0.012,-1.38
"A.J. Guyton","GSW",2003,9,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,-0.02
"A.J. Price","CLE, IND, PHO",2015,311,-0.005,0.002,-0.003,0.001,0.003,-0.001,0.002,0.002,-0.46,0.66,-0.002,-0.001,0.002,0.004,0.26
"A.J. Price","IND",2010,865,0.001,0.001,-0.003,-0.008,0.006,0.003,-0.006,0.001,0.31,0.22,0.002,-0.011,0.009,-0.005,0.45
"A.J. Price","IND",2011,795,0.003,0,-0.002,-0.008,0.005,0.004,-0.006,0.004,0.38,0.52,0.002,-0.01,0.01,-0.001,0.82
"A.J. Price","IND",2012,568,-0.002,-0.001,0,-0.001,0.003,0.003,-0.003,-0.002,-0.17,-0.1,-0.003,-0.001,0.006,-0.006,-0.29
"A.J. Price","MIN",2014,99,0,0,0,0,0.001,0,0,-0.001,0.05,0.06,0,0,0.001,-0.001,0.1
"A.J. Price","WAS",2013,1278,-0.002,0.002,0.001,0.001,0.01,0.001,-0.006,-0.005,1.13,0.6,0,0.002,0.011,-0.011,1.54
"Aaron Brooks","CHI",2015,1632,0.001,0.004,0.009,-0.017,0.007,-0.004,-0.016,-0.006,1.03,-0.92,0.004,-0.009,0.002,-0.023,-0.17
"Aaron Brooks","DEN, HOU",2014,1557,-0.002,0,0.005,-0.015,0.005,-0.004,-0.006,-0.011,0.89,-1.74,-0.002,-0.011,0.001,-0.018,-1.15
"Aaron Brooks","HOU",2008,608,0.001,-0.003,0.003,-0.004,0.003,0,-0.005,0,0.03,-0.67,-0.003,-0.002,0.002,-0.005,-0.72
"Aaron Brooks","HOU",2009,1998,-0.001,-0.004,0.003,-0.011,0,-0.001,-0.025,0.001,-2,-1.07,-0.006,-0.008,-0.001,-0.024,-3.05
"Aaron Brooks","HOU",2010,2919,-0.002,-0.005,0.007,-0.009,0,-0.005,-0.019,-0.01,-1.3,-1.96,-0.008,-0.002,-0.005,-0.031,-3.36
"Aaron Brooks","HOU, PHO",2011,1284,0.001,-0.002,0.004,-0.006,-0.001,-0.005,-0.008,-0.009,-0.16,-1.31,-0.001,-0.002,-0.006,-0.017,-1.61
"Aaron Brooks","HOU, SAC",2013,997,0,0.002,0.005,-0.008,0.003,-0.002,-0.004,-0.006,0.7,-0.61,0.002,-0.004,0.001,-0.011,-0.09
"Aaron Gordon","ORL",2015,590,-0.003,0.001,0,0.004,0,-0.001,0.001,0.001,-0.63,0.16,-0.002,0.004,-0.001,0.002,-0.44
"Aaron Gray","CHI",2008,613,0.003,0.001,-0.007,0.003,-0.003,-0.003,0.011,0.009,0.16,0.59,0.003,-0.003,-0.006,0.022,0.72
"Aaron Gray","CHI",2009,715,0.005,0.002,-0.008,0.002,-0.005,-0.003,0.016,0.011,0.49,0.69,0.007,-0.005,-0.008,0.029,1.11
"Aaron Gray","CHI, NOH",2010,311,0.002,0.001,-0.005,0.001,-0.002,-0.001,0.005,0.005,0.09,0.16,0.003,-0.003,-0.004,0.011,0.22
"Aaron Gray","NOH",2011,531,0.001,-0.001,-0.005,0.004,-0.002,-0.002,0.003,0.012,-0.07,0.18,0,-0.001,-0.004,0.017,0.09
