"par","ego","crnt"
NA,"A. V. Barrett",0
NA,"A.A. Gillian",0
NA,"A.A. Mason",0
NA,"A.B. Williamson",0
NA,"A.C. Krause",0
NA,"A.D. Browne",0
NA,"A.H. Ward",0
NA,"A.J. Pyle",0
NA,"A.K. Aldinger",0
NA,"A.L. Burkeholder",0
NA,"A.L. Gildersleeve",0
NA,"A.L. Swanson",0
NA,"A.M. Ebright",0
NA,"A.M. Foster",0
NA,"A.R. Hackett",0
NA,"A.R. Scott",0
NA,"A.R. Winters",0
NA,"A.W. Enderbrock",0
"Fred Hobdy","Aaron James",0
NA,"Aaron Johnson",0
NA,"Aaron McCreary",0
NA,"Abe Diddel",0
"Rankin Williams","Abe Lemons",0
NA,"Adam Sanders",0
"Greg Gary","Adam Walsh",0
NA,"Adolph Lewandowski",0
"Phog Allen","Adolph Rupp",0
"Ralph Barkley","Adrian Buoncristiani",0
NA,"Ajac Triplett",0
"Ricardo Patton","Aki Thomas",1
NA,"Al Baggett",0
NA,"Al Brown",0
NA,"Al Carmount",0
NA,"Al Duer",0
NA,"Al Grushkin",0
NA,"Al Harden",0
"Bob Knight","Al Lobalbo",0
"Doggie Julian","Al McGuire",0
NA,"Al Seibert",0
"Jack Leaman","Al Skinner",0
NA,"Al Walker",0
NA,"Alan Kyber",0
"Frank Selvy","Alan LeForce",0
"Bob Thomason","Alan Major",1
NA,"Albert Brightman",0
NA,"Albert Cohan",0
NA,"Albert E. Negratti",0
NA,"Albert Kaplan",0
NA,"Albert McClellan",0
NA,"Albert Sharpe",0
NA,"Albert Wittmer",0
NA,"Alcott Neary",0
NA,"Alden Pasche",0
NA,"Alex Severence",0
NA,"Alex Shaw",0
NA,"Alex Stone",0
NA,"Alex Wilson",0
NA,"Alexander Hogarty",0
NA,"Alexander Whyte",0
NA,"Alfred Heerdt",0
NA,"Alfred McCray",0
NA,"Alfred Robertson",0
NA,"Alfred Scott",0
NA,"Alfred Westphal",0
NA,"Allan Freund",0
NA,"Allan Willisford",0
NA,"Allen Lincoln",0
NA,"Allen Snyder",0
NA,"Allen Van Winkle",0
NA,"Allie Seelbach",0
NA,"Alpha Brummage",0
NA,"Alpha Jamison",0
NA,"Alphonse Mahrt",0
NA,"Alton Kircher",0
NA,"Alvin Brooks",0
NA,"Alvin Twitchell",0
NA,"Amos Alonzo Stagg",0
NA,"Amos Foster",0
NA,"Andrew Gill",0
NA,"Andrew Greer",0
NA,"Andrew Kerr",0
"Mark Simons","Andrew Toole",1
"Leonard Hamilton","Andy Enfield",1
"Jim Valvano","Andy Kennedy",1
NA,"Andy Mooradian",0
NA,"Andy Newman",0
NA,"Andy Russo",0
NA,"Andy Stoglin",0
NA,"Andy Walker",0
NA,"Anselm Krieger",0
NA,"Anthony Chez",0
"Dwight Freeman","Anthony Evans",1
NA,"Anthony Fields",0
"Billy Donovan","Anthony Grant",1
NA,"Anthony Kuolt",0
"Howie Dickenman","Anthony Latina",1
NA,"Anthony Packer",0
NA,"Anthony Savage",0
"Mike Brey","Anthony Solomon",0
NA,"Arad McCutchan",0
NA,"Archer Reilly",0
"Sean Miller","Archie Miller",1
NA,"Archie Oldham",0
NA,"Armin Fischer",0
"Pete Carril","Armond Hill",0
NA,"Art Guedel",0
NA,"Art Loche",0
NA,"Art Perry",0
NA,"Art Quinlan",0
NA,"Art Tolis",0
NA,"Arthur Badenoch",0
NA,"Arthur Barthelme",0
NA,"Arthur Bergman",0
NA,"Arthur Berndt",0
NA,"Arthur Carroll",0
NA,"Arthur Conrad",0
NA,"Arthur Devlin",0
NA,"Arthur Gallon",0
NA,"Arthur Hinaman",0
NA,"Arthur Kahler",0
NA,"Arthur Kiefaber",0
NA,"Arthur McLarney",0
NA,"Arthur Musicat",0
NA,"Arthur Powell",0
NA,"Arthur Rueber",0
NA,"Arthur Schabinger",0
NA,"Arthur Strum",0
NA,"Aubrey DeVine",0
NA,"Austin Johnson",0
NA,"B.C. Cubbage",0
NA,"B.C. Edwards",0
NA,"B.F. Bryant",0
NA,"B.H. Koehler",0
"Tad Boyle","B.J. Hill",1
NA,"B.Y. Walton",0
NA,"Babe Brown",0
NA,"Babe McCarthy",0
NA,"Banks McFadden",0
"Les Robinson","Barclay Radebaugh",1
"Mike Montgomery","Barry Collier",0
NA,"Barry Dowd",0
"Bill Self","Barry Hinson",1
"Bruce Parkhill","Barry Parkhill",0
NA,"Barry Rohrssen",0
NA,"Bart Bellairs",0
"Dan Kenney","Bart Lundy",0
"Bruiser Flint","Bashir Mason",1
NA,"Basil Hayden",0
NA,"Basil Stanley",0
NA,"Bebe Benson",0
NA,"Bebe Lee",0
NA,"Ben Betts",0
NA,"Ben Bluitt",0
"Jim Boyce","Ben Braun",1
NA,"Ben Carnevale",0
NA,"Ben Cherrington",0
NA,"Ben Clemmons",0
NA,"Ben Clemons",0
"Jay Hillock","Ben Howland",0
"Greg McDermott","Ben Jacobson",1
NA,"Ben Jobe",0
NA,"Ben Kribbs",0
NA,"Ben Lindsey",0
NA,"Ben Lubic",0
NA,"Ben Parker",0
NA,"Ben Reiges",0
NA,"Benjamin Hermes",0
NA,"Benjamin Lang",0
