Opponent,Name,Rk,School,X,Type,GS,MP,FG,FGA,FG.,X2P,X2PA,X2P.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Conf,SRS,DRE
alabama,Aaron Harrison,17,Kentucky,@,REG,1,23,2,4,0.5,1,1,1,1,3,0.333,0,0,NA,1,2,3,1,0,0,2,1,5,SEC,10.57,-3.428
alabama,Aaron Harrison,21,Kentucky,,REG,1,32,4,11,0.364,2,5,0.4,2,6,0.333,0,1,0,0,2,2,2,2,0,0,1,10,SEC,10.57,0.198
arkansas,Aaron Harrison,29,Kentucky,,REG,1,28,2,11,0.182,1,5,0.2,1,6,0.167,4,6,0.667,2,5,7,0,5,0,2,2,9,SEC,14.12,0.292
arkansas,Aaron Harrison,34,Kentucky,N,CTOURN,1,31,4,10,0.4,1,5,0.2,3,5,0.6,0,0,NA,0,2,2,6,0,2,1,3,11,SEC,14.12,0.854
auburn,Aaron Harrison,27,Kentucky,,REG,1,27,7,12,0.583,5,5,1,2,7,0.286,2,2,1,1,3,4,1,2,0,2,2,18,SEC,3.33,4.728
auburn,Aaron Harrison,33,Kentucky,N,CTOURN,1,18,4,7,0.571,2,4,0.5,2,3,0.667,2,2,1,0,1,1,0,0,0,0,3,12,SEC,3.33,2.752
boston-university,Aaron Harrison,4,Kentucky,,REG,1,25,7,15,0.467,6,9,0.667,1,6,0.167,4,6,0.667,1,1,2,4,2,0,0,1,19,Patriot,-5.59,5.8
buffalo,Aaron Harrison,2,Kentucky,,REG,1,22,2,9,0.222,1,4,0.25,1,5,0.2,3,5,0.6,1,3,4,0,1,0,1,3,8,MAC,7.95,-3.742
cincinnati,Aaron Harrison,36,Kentucky,N,NCAA,1,28,5,11,0.455,2,4,0.5,3,7,0.429,0,0,NA,0,2,2,0,1,0,1,1,13,AAC,10.74,-0.008
columbia,Aaron Harrison,10,Kentucky,,REG,1,33,6,15,0.4,5,10,0.5,1,5,0.2,1,1,1,2,1,3,3,3,0,0,1,14,Ivy,-0.33,2.862
eastern-kentucky,Aaron Harrison,9,Kentucky,,REG,1,25,4,10,0.4,3,7,0.429,1,3,0.333,0,0,NA,0,6,6,3,1,1,2,0,9,OVC,0.03,-1.265
florida,Aaron Harrison,32,Kentucky,N,CTOURN,1,28,4,8,0.5,3,5,0.6,1,3,0.333,4,4,1,1,2,3,0,0,1,1,1,13,SEC,13.33,0.327
florida,Aaron Harrison,23,Kentucky,@,REG,1,26,6,12,0.5,3,6,0.5,3,6,0.5,8,8,1,1,0,1,0,1,0,1,2,23,SEC,13.33,6.364
florida,Aaron Harrison,31,Kentucky,,REG,0,27,4,8,0.5,4,6,0.667,0,2,0,1,2,0.5,0,2,2,1,2,0,1,1,9,SEC,13.33,0.328
georgia,Aaron Harrison,30,Kentucky,@,REG,1,21,5,9,0.556,4,6,0.667,1,3,0.333,5,7,0.714,1,2,3,0,1,0,0,3,16,SEC,12.48,4.894
georgia,Aaron Harrison,22,Kentucky,,REG,1,28,0,4,0,0,0,NA,0,4,0,1,2,0.5,0,2,2,1,0,0,1,1,1,SEC,12.48,-7.608
grand-canyon,Aaron Harrison,1,Kentucky,,REG,1,23,3,7,0.429,3,6,0.5,0,1,0,1,2,0.5,0,0,0,0,2,0,1,1,7,WAC,-6.6,-1.128
hampton,Aaron Harrison,35,Kentucky,N,NCAA,1,23,0,5,0,0,3,0,0,2,0,3,5,0.6,0,7,7,3,0,0,2,1,3,MEAC,-8.21,-6.278
kansas,Aaron Harrison,3,Kentucky,N,REG,1,21,3,8,0.375,1,5,0.2,2,3,0.667,0,0,NA,0,2,2,2,0,0,1,2,8,Big 12,18.51,-2.056
louisiana-state,Aaron Harrison,24,Kentucky,@,REG,1,26,1,8,0.125,1,5,0.2,0,3,0,0,0,NA,1,0,1,1,0,0,1,1,2,SEC,11.43,-9.436
louisville,Aaron Harrison,13,Kentucky,@,REG,1,26,2,10,0.2,0,3,0,2,7,0.286,1,2,0.5,0,3,3,1,2,0,1,3,7,ACC,18.14,-3.136
mississippi,Aaron Harrison,14,Kentucky,,REG,1,40,6,14,0.429,1,5,0.2,5,9,0.556,9,10,0.9,0,4,4,2,0,0,0,0,26,SEC,11.43,6.26
mississippi-state,Aaron Harrison,28,Kentucky,@,REG,1,28,6,10,0.6,4,4,1,2,6,0.333,2,2,1,0,2,2,1,0,0,2,1,16,SEC,2.58,0.592
missouri,Aaron Harrison,20,Kentucky,@,REG,1,25,3,7,0.429,2,4,0.5,1,3,0.333,4,4,1,0,3,3,2,3,0,0,2,11,SEC,1.19,6.6
missouri,Aaron Harrison,16,Kentucky,,REG,1,20,5,8,0.625,0,1,0,5,7,0.714,1,2,0.5,1,1,2,1,0,0,0,0,16,SEC,1.19,6.28
montana-state,Aaron Harrison,5,Kentucky,,REG,1,18,5,14,0.357,4,8,0.5,1,6,0.167,3,3,1,0,2,2,2,2,0,0,0,14,Big Sky,-12.93,2.702
north-carolina,Aaron Harrison,11,Kentucky,,REG,1,26,5,9,0.556,2,2,1,3,7,0.429,1,2,0.5,0,1,1,1,1,0,2,2,14,ACC,20.62,1.264
notre-dame,Aaron Harrison,38,Kentucky,N,NCAA,1,27,2,7,0.286,1,4,0.25,1,3,0.333,1,2,0.5,1,3,4,0,0,0,0,0,6,ACC,19.23,-3.872
providence,Aaron Harrison,7,Kentucky,,REG,1,22,2,7,0.286,1,3,0.333,1,4,0.25,1,2,0.5,0,1,1,4,0,0,0,3,6,Big East,13.75,-1.792
south-carolina,Aaron Harrison,25,Kentucky,,REG,1,23,4,8,0.5,3,4,0.75,1,4,0.25,2,2,1,0,0,0,2,0,0,0,0,11,SEC,10.61,0.972
south-carolina,Aaron Harrison,19,Kentucky,@,REG,1,34,4,11,0.364,3,7,0.429,1,4,0.25,4,6,0.667,0,4,4,0,3,1,0,3,13,SEC,10.61,2.811
tennessee,Aaron Harrison,26,Kentucky,@,REG,1,22,1,7,0.143,1,2,0.5,0,5,0,0,0,NA,0,0,0,0,1,1,1,0,2,SEC,7.28,-6.457
texas,Aaron Harrison,8,Kentucky,,REG,1,28,1,9,0.111,1,5,0.2,0,4,0,0,0,NA,0,1,1,2,0,0,2,2,2,Big 12,16.19,-11.508
texas-am,Aaron Harrison,15,Kentucky,@,REG,1,37,4,20,0.2,2,7,0.286,2,13,0.154,2,2,1,0,7,7,1,3,0,2,5,12,SEC,10.77,-7.532
texas-arlington,Aaron Harrison,6,Kentucky,,REG,1,18,4,11,0.364,2,4,0.5,2,7,0.286,1,1,1,0,0,0,2,0,0,2,2,11,Sun Belt,-3.58,-3.498
ucla,Aaron Harrison,12,Kentucky,N,REG,1,23,6,11,0.545,3,3,1,3,8,0.375,0,0,NA,0,2,2,3,3,0,0,1,15,Pac-12,12.08,8.972
vanderbilt,Aaron Harrison,18,Kentucky,,REG,1,23,4,7,0.571,2,4,0.5,2,3,0.667,4,4,1,1,1,2,1,2,0,1,0,14,SEC,11.94,6.072
west-virginia,Aaron Harrison,37,Kentucky,N,NCAA,1,22,4,6,0.667,2,3,0.667,2,3,0.667,2,2,1,0,2,2,2,0,0,2,1,12,Big 12,15.15,1.508
wisconsin,Aaron Harrison,39,Kentucky,N,NCAA,1,27,5,10,0.5,5,9,0.556,0,1,0,2,2,1,0,3,3,0,0,0,0,5,12,Big Ten,24.47,-0.772
alabama,Andrew Harrison,17,Kentucky,@,REG,1,25,1,4,0.25,0,1,0,1,3,0.333,2,2,1,0,2,2,3,3,0,2,0,5,SEC,10.57,1.5
alabama,Andrew Harrison,21,Kentucky,,REG,1,28,1,3,0.333,0,1,0,1,2,0.5,2,2,1,0,2,2,2,1,0,2,2,5,SEC,10.57,-1.908
arkansas,Andrew Harrison,34,Kentucky,N,CTOURN,1,18,5,9,0.556,2,6,0.333,3,3,1,2,4,0.5,0,0,0,2,0,0,0,3,15,SEC,14.12,4.052
arkansas,Andrew Harrison,29,Kentucky,,REG,1,27,4,10,0.4,2,6,0.333,2,4,0.5,8,8,1,0,3,3,3,1,0,2,1,18,SEC,14.12,3.528
auburn,Andrew Harrison,33,Kentucky,N,CTOURN,1,25,4,11,0.364,2,6,0.333,2,5,0.4,5,6,0.833,0,1,1,4,0,0,2,3,15,SEC,3.33,-1
auburn,Andrew Harrison,27,Kentucky,,REG,1,27,3,8,0.375,2,6,0.333,1,2,0.5,5,8,0.625,1,1,2,9,0,0,1,1,12,SEC,3.33,1.828
boston-university,Andrew Harrison,4,Kentucky,,REG,1,25,2,4,0.5,1,2,0.5,1,2,0.5,3,4,0.75,1,1,2,5,1,0,1,3,8,Patriot,-5.59,2.8
buffalo,Andrew Harrison,2,Kentucky,,REG,1,18,1,6,0.167,1,3,0.333,0,3,0,1,2,0.5,0,0,0,1,1,1,1,2,3,MAC,7.95,-4.213
cincinnati,Andrew Harrison,36,Kentucky,N,NCAA,1,26,2,7,0.286,2,6,0.333,0,1,0,1,3,0.333,0,2,2,2,0,1,0,1,5,AAC,10.74,-3.951
columbia,Andrew Harrison,10,Kentucky,,REG,1,32,1,12,0.083,1,7,0.143,0,5,0,2,4,0.5,1,2,3,3,1,0,0,3,4,Ivy,-0.33,-8.752
eastern-kentucky,Andrew Harrison,9,Kentucky,,REG,1,24,2,2,1,2,2,1,0,0,NA,2,2,1,0,2,2,6,1,1,5,2,6,OVC,0.03,-1.129
florida,Andrew Harrison,31,Kentucky,,REG,1,27,3,7,0.429,3,6,0.5,0,1,0,2,2,1,0,2,2,0,1,0,2,1,8,SEC,13.33,-3.372
florida,Andrew Harrison,23,Kentucky,@,REG,1,24,0,0,NA,0,0,NA,0,0,NA,1,2,0.5,1,3,4,2,1,0,3,4,1,SEC,13.33,-3.664
florida,Andrew Harrison,32,Kentucky,N,CTOURN,1,32,4,9,0.444,3,6,0.5,1,3,0.333,0,0,NA,0,3,3,2,2,0,0,1,9,SEC,13.33,1.548
georgia,Andrew Harrison,30,Kentucky,@,REG,1,31,4,10,0.4,2,5,0.4,2,5,0.4,2,3,0.667,0,4,4,1,1,0,1,1,12,SEC,12.48,-0.666
georgia,Andrew Harrison,22,Kentucky,,REG,1,31,8,16,0.5,5,10,0.5,3,6,0.5,4,4,1,0,0,0,7,1,0,1,1,23,SEC,12.48,6.784
grand-canyon,Andrew Harrison,1,Kentucky,,REG,1,23,5,8,0.625,4,6,0.667,1,2,0.5,5,6,0.833,1,2,3,3,1,0,2,1,16,WAC,-6.6,4.572
hampton,Andrew Harrison,35,Kentucky,N,NCAA,1,27,4,7,0.571,2,4,0.5,2,3,0.667,4,4,1,0,4,4,3,1,0,0,2,14,MEAC,-8.21,6.628
kansas,Andrew Harrison,3,Kentucky,N,REG,1,19,3,5,0.6,1,3,0.333,2,2,1,2,3,0.667,0,2,2,4,0,0,2,3,10,Big 12,18.51,1.466
louisiana-state,Andrew Harrison,24,Kentucky,@,REG,1,28,4,8,0.5,3,5,0.6,1,3,0.333,4,4,1,1,2,3,4,0,0,0,1,13,SEC,11.43,3.192
louisville,Andrew Harrison,13,Kentucky,@,REG,1,20,1,6,0.167,0,5,0,1,1,1,0,0,NA,1,2,3,4,0,0,6,3,3,ACC,18.14,-10.92
mississippi,Andrew Harrison,14,Kentucky,,REG,1,32,2,7,0.286,0,4,0,2,3,0.667,6,8,0.75,0,1,1,5,2,0,1,4,12,SEC,11.43,3.248
mississippi-state,Andrew Harrison,28,Kentucky,@,REG,1,29,2,8,0.25,1,6,0.167,1,2,0.5,0,1,0,0,2,2,3,0,1,0,0,5,SEC,2.58,-4.059
missouri,Andrew Harrison,20,Kentucky,@,REG,1,25,3,4,0.75,3,3,1,0,1,0,9,11,0.818,0,3,3,3,3,0,2,2,15,SEC,1.19,8.55
missouri,Andrew Harrison,16,Kentucky,,REG,1,20,1,5,0.2,1,3,0.333,0,2,0,6,7,0.857,1,2,3,3,0,0,1,2,8,SEC,1.19,-0.97
montana-state,Andrew Harrison,5,Kentucky,,REG,1,19,1,3,0.333,0,1,0,1,2,0.5,1,2,0.5,1,3,4,3,2,0,2,0,4,Big Sky,-12.93,0.916
north-carolina,Andrew Harrison,11,Kentucky,,REG,1,25,1,4,0.25,1,3,0.333,0,1,0,9,10,0.9,1,0,1,5,2,0,3,3,11,ACC,20.62,2.4
notre-dame,Andrew Harrison,38,Kentucky,N,NCAA,1,29,0,2,0,0,1,0,0,1,0,7,8,0.875,1,2,3,2,1,0,2,2,7,ACC,19.23,-1.044
providence,Andrew Harrison,7,Kentucky,,REG,1,20,3,6,0.5,3,5,0.6,0,1,0,0,0,NA,0,1,1,4,4,1,1,2,6,Big East,13.75,6.015
south-carolina,Andrew Harrison,19,Kentucky,@,REG,1,27,1,5,0.2,1,5,0.2,0,0,NA,2,3,0.667,0,1,1,2,0,0,2,1,4,SEC,10.61,-6.822
south-carolina,Andrew Harrison,25,Kentucky,,REG,1,25,2,8,0.25,1,5,0.2,1,3,0.333,4,4,1,0,4,4,6,0,1,3,2,9,SEC,10.61,-2.865
tennessee,Andrew Harrison,26,Kentucky,@,REG,1,31,4,10,0.4,2,5,0.4,2,5,0.4,4,4,1,1,2,3,2,2,0,1,4,14,SEC,7.28,2.984
texas,Andrew Harrison,8,Kentucky,,REG,1,24,2,8,0.25,1,4,0.25,1,4,0.25,0,0,NA,0,1,1,4,0,0,1,2,5,Big 12,16.19,-4.664
